Title,Rating,Oscars,Total Nominations and Awards,Director,Gross,MPAA Rating,Users Reviews Count,Critics Reviews Count,Ratings Number
Remember the Titans (2000),7.8,Awards,8 wins & 18 nominations,Boaz Yakin,"$136,771,683",PG,471,133,207K
Requiem for a Dream (2000),8.3,Nominated for 1 Oscar,37 wins & 70 nominations total,Darren Aronofsky,"Oct 8, 2000",Unrated,2.2K,266,802K
Romeo Must Die (2000),6.1,Awards,2 wins & 7 nominations,Andrzej Bartkowiak,"$91,036,760",R,382,78,69K
Road Trip (2000),6.4,Awards,4 wins & 9 nominations,Todd Phillips,"$119,754,278",R,325,83,164K
Rules of Engagement (2000),6.4,Awards,1 win & 2 nominations,William Friedkin,"$71,732,303",R,292,60,46K
Rat Race (2001),6.4,Awards,3 nominations,Jerry Zucker,"$85,498,534",PG-13,536,96,113K
Riding in Cars with Boys (2001),6.5,Awards,2 wins & 2 nominations,Penny Marshall,"$35,743,308",PG-13,217,90,28K
Rush Hour 2 (2001),6.6,Awards,10 wins & 22 nominations,Brett Ratner,"$347,325,802",PG-13,426,138,210K
Rock Star (2001),6.3,Awards,1 nomination,Stephen Herek,"$19,334,145",R,207,99,42K
Red Dragon (2002),7.2,Awards,4 wins & 10 nominations,Brett Ratner,"$209,196,298",R,849,192,264K
Reign of Fire (2002),6.2,Awards,1 win & 3 nominations,Rob Bowman,"$82,150,183",PG-13,619,141,132K
Robots (2005),6.4,Awards,2 wins & 22 nominations,Chris Wedge,"$262,511,490",PG,315,147,140K
Righteous Kill (2008),6.0,Awards,1 win & 2 nominations,Jon Avnet,"$79,498,846",R,282,194,87K
Repo Men (2010),6.3,Awards,2 nominations,Miguel Sapochnik,"$18,409,891",R,216,195,105K
Red Dog (2011),7.4,Awards,12 wins & 15 nominations,Kriv Stenders,"$21,185,724",PG,106,57,18K
Rise of the Planet of the Apes (2011),7.5,Nominated for 1 Oscar,21 wins & 43 nominations total,Rupert Wyatt,"$481,800,873",PG-13,740,565,511K
Stanley & Iris (1990),6.4,Nominated for 1 Oscar,21 wins & 43 nominations total,Rupert Wyatt,"$5,820,015",PG-13,740,565,511K
Species (1995),5.8,Awards,3 wins & 8 nominations,Roger Donaldson,"$113,374,103",R,173,132,78K
Strange Days (1995),7.2,Awards,2 wins & 4 nominations,Kathryn Bigelow,"$7,959,291",R,266,111,70K
Sleepers (1996),7.6,Nominated for 1 Oscar,1 win & 5 nominations total,Barry Levinson,"$165,615,285",R,344,72,210K
Scream (1996),7.3,Awards,11 wins & 11 nominations,Wes Craven,"$173,046,663",R,1.1K,291,313K
Stepmom (1998),6.8,Awards,8 wins & 7 nominations,Chris Columbus,2.39 : 1,PG-13,281,55,65K
Saving Private Ryan (1998),8.6,Won 5 Oscars,79 wins & 75 nominations total,Steven Spielberg,"$482,349,603",R,2.7K,277,1.3M
Sphere (1998),6.1,Awards,3 nominations,Barry Levinson,2.39 : 1,PG-13,343,97,104K
Simon Birch (1998),6.9,Awards,3 wins & 3 nominations,Mark Steven Johnson,"$18,253,415",PG,229,46,21K
Stuart Little (1999),5.9,Nominated for 1 Oscar,7 wins & 14 nominations total,Rob Minkoff,"$300,135,367",PG,226,89,131K
Summer of Sam (1999),6.7,Awards,6 nominations,Spike Lee,"$19,288,130",R,367,92,38K
Sleepy Hollow (1999),7.3,Won 1 Oscar,28 wins & 44 nominations total,Tim Burton,"$206,071,502",R,1K,247,347K
She's All That (1999),5.9,Awards,8 wins & 5 nominations,Robert Iscove,"$103,166,989",PG-13,425,74,92K
Scary Movie (2000),6.2,Awards,7 wins & 6 nominations,Keenen Ivory Wayans,"$278,019,771",R,976,111,248K
Scream 3 (2000),5.6,Awards,6 wins & 5 nominations,Wes Craven,"$161,834,276",R,812,230,131K
Sexy Beast (2000),7.3,Nominated for 1 Oscar,21 wins & 21 nominations total,Jonathan Glazer,"$10,045,893",R,379,140,59K
Snatch (2000),8.3,Awards,4 wins & 7 nominations,Guy Ritchie,"$83,557,872",R,896,167,818K
Shaft (2000),6.0,Awards,1 win & 13 nominations,John Singleton,"$107,626,125",R,313,133,76K
Shanghai Noon (2000),6.6,Awards,1 win & 7 nominations,Tom Dey,2.39 : 1,PG-13,310,121,124K
Screwed (2000),5.7,Awards,1 win & 7 nominations,Tom Dey,"$7,201,701",PG-13,310,121,124K
Scary Movie (2000),6.2,Awards,7 wins & 6 nominations,Keenen Ivory Wayans,"$278,019,771",R,976,111,248K
Swordfish (2001),6.5,Awards,5 wins & 10 nominations,Dominic Sena,"$147,080,413",R,572,147,183K
Save the Last Dance (2001),6.2,Awards,6 wins & 8 nominations,Thomas Carter,"$131,706,809",PG-13,344,90,60K
Say It Isn't So (2001),5.0,Awards,1 nomination,J.B. Rogers,"$12,320,393",R,92,88,13K
Scary Movie 2 (2001),5.3,Awards,3 wins & 5 nominations,Keenen Ivory Wayans,"$141,220,678",R,580,136,157K
Shallow Hal (2001),5.9,Awards,3 nominations,Bobby Farrelly,"$141,069,860",PG-13,440,95,131K
Shrek (2001),7.9,Won 1 Oscar,40 wins & 60 nominations total,Andrew Adamson,"May 20, 2001",PG,1.1K,176,644K
Soul Survivors (2001),3.9,Won 1 Oscar,40 wins & 60 nominations total,Andrew Adamson,"$4,299,141",PG,1.1K,176,644K
Storytelling (2001),6.8,Awards,1 nomination,Todd Solondz,"Jan 27, 2002",R,129,95,18K
Summer Catch (2001),5.1,Awards,1 nomination,Michael Tollin,"$19,772,447",PG-13,114,53,16K
Super Troopers (2001),7.1,Awards,1 win,Jay Chandrasekhar,"$23,182,223",R,367,84,101K
Showtime (2002),5.5,Awards,1 win & 6 nominations,Tom Dey,"$77,885,672",PG-13,177,103,62K
Signs (2002),6.7,Awards,3 wins & 34 nominations,M. Night Shyamalan,"$408,247,917",PG-13,2.4K,217,351K
Stuck on You (2003),5.7,Awards,2 nominations,Bobby Farrelly,"$65,784,503",PG-13,155,129,52K
S.W.A.T. (2003),6.0,Awards,5 wins & 5 nominations,Clark Johnson,"$207,725,639",PG-13,363,132,144K
Seed of Chucky (2004),4.8,Awards,1 win & 6 nominations,Don Mancini,"$24,829,644",R,278,161,43K
Starsky & Hutch (2004),6.1,Awards,3 wins & 10 nominations,Todd Phillips,"$170,268,750",PG-13,338,171,144K
Secret Window (2004),6.5,Awards,3 nominations,David Koepp,"$92,913,171",PG-13,600,190,189K
Shall We Dance? (2004),6.1,Awards,7 nominations,Peter Chelsom,"$170,128,460",PG-13,233,74,46K
Shark Tale (2004),6.0,Nominated for 1 Oscar,3 wins & 16 nominations total,Bibo Bergeron,"$374,583,879",PG,351,132,176K
Sahara (2005),6.0,Awards,2 wins & 5 nominations,Breck Eisner,"$119,240,351",PG-13,517,158,96K
Step Up (2006),6.5,Awards,1 win & 3 nominations,Anne Fletcher,"$114,197,742",PG-13,288,100,115K
Stranger Than Fiction (2006),7.5,Awards,3 wins & 15 nominations,Marc Forster,"$53,653,224",PG-13,638,256,225K
Superman Returns (2006),6.0,Nominated for 1 Oscar,12 wins & 47 nominations total,Bryan Singer,"$391,081,192",PG-13,2.4K,358,277K
Superbad (2007),7.6,Awards,11 wins & 24 nominations,Greg Mottola,"$170,812,526",R,747,253,548K
Shooter (2007),7.2,Awards,2 nominations,Antoine Fuqua,"$95,696,996",R,417,205,323K
Stardust (2007),7.6,Awards,5 wins & 11 nominations,Matthew Vaughn,"$137,515,140",PG-13,605,236,265K
Shrek the Third (2007),6.1,Awards,5 wins & 17 nominations total,Chris Miller,"$813,367,380",PG,399,220,294K
Street Kings (2008),6.8,Awards,1 nomination,David Ayer,"$66,476,363",R,229,198,111K
"Surfer, Dude (2008)",4.7,Awards,1 nomination,David Ayer,"$52,132",R,229,198,111K
Strange Wilderness (2008),5.3,Awards,1 nomination,David Ayer,"$6,964,734",R,229,198,111K
Step Brothers (2008),6.9,Awards,3 wins & 2 nominations,Adam McKay,2.35 : 1,R,394,187,281K
Semi-Pro (2008),5.8,Awards,1 win & 4 nominations,Kent Alterman,"$44,004,502",R,143,165,81K
Sunshine Cleaning (2008),6.8,Awards,2 wins & 6 nominations,Christine Jeffs,"$16,580,250",R,150,177,71K
Splice (2009),5.7,Awards,4 wins & 23 nominations,Vincenzo Natali,"$27,127,620",R,435,381,96K
Sherlock Holmes (2009),7.6,Nominated for 2 Oscars,10 wins & 31 nominations total,Guy Ritchie,"$524,028,679",PG-13,740,427,608K
Solitary Man (2009),6.3,Awards,2 wins & 3 nominations,Brian Koppelman,"$5,682,554",R,67,118,16K
Scott Pilgrim vs. the World (2010),7.5,Awards,17 wins & 64 nominations,Edgar Wright,"$48,917,974",PG-13,797,433,406K
Stone (2010),5.4,Awards,17 wins & 64 nominations,Edgar Wright,"$10,300,416",PG-13,797,433,406K
Salt (2010),6.4,Nominated for 1 Oscar,4 wins & 16 nominations total,Phillip Noyce,"$293,503,354",PG-13,621,348,306K
Season of the Witch (2011),5.4,Awards,2 nominations,Dominic Sena,"$91,627,228",PG-13,272,292,93K
Sherlock Holmes: A Game of Shadows (2011),7.5,Awards,3 wins & 11 nominations,Guy Ritchie,"$543,848,418",PG-13,481,258,437K
Super 8 (2011),7.0,Awards,11 wins & 70 nominations,J.J. Abrams,2.35 : 1,PG-13,978,575,347K
Scream 4 (2011),6.2,Awards,1 win & 6 nominations,Wes Craven,"$97,231,420",R,610,441,136K
Setup (2011),4.4,Awards,1 win & 6 nominations,Wes Craven,"$2,140,476",R,610,441,136K
Straw Dogs (2011),5.8,Awards,2 nominations,Rod Lurie,"$11,168,712",R,163,197,34K
The Godfather (1972),9.2,Won 3 Oscars,31 wins & 30 nominations total,Francis Ford Coppola,"$246,120,986",R,4.7K,269,1.7M
The Godfather: Part II (1974),9.0,Won 6 Oscars,17 wins & 20 nominations total,Francis Ford Coppola,"$48,035,783",R,1.2K,190,1.2M
The Deer Hunter (1978),8.1,Won 5 Oscars,24 wins & 27 nominations total,Michael Cimino,"$49,074,379",R,1.1K,143,327K
The Witches of Eastwick (1987),6.6,Nominated for 2 Oscars,5 wins & 13 nominations total,George Miller,"$63,766,510",R,158,69,67K
The Untouchables (1987),7.9,Won 1 Oscar,11 wins & 16 nominations total,Brian De Palma,"$76,270,454",R,570,145,297K
The Naked Gun: From the Files of Police Squad! (1988),7.6,Awards,1 nomination,David Zucker,"$78,756,177",PG-13,244,102,162K
The Color of Money (1986),7.0,Won 1 Oscar,3 wins & 10 nominations total,Martin Scorsese,"$52,293,982",R,159,72,80K
Thelma & Louise (1991),7.5,Won 1 Oscar,25 wins & 50 nominations total,Ridley Scott,"$45,457,532",R,365,137,146K
The Last Boy Scout (1991),7.0,Awards,2 nominations,Tony Scott,"$59,509,925",R,189,73,98K
The Crying Game (1992),7.3,Won 1 Oscar,22 wins & 46 nominations total,Neil Jordan,"$62,548,947",R,187,59,54K
This Boy's Life (1993),7.3,Awards,2 wins & 2 nominations,Michael Caton-Jones,"$4,104,962",R,102,47,51K
The Program (1993),6.5,Awards,2 wins & 2 nominations,Michael Caton-Jones,"$23,032,565",R,102,47,51K
Tombstone (1993),7.8,Awards,2 nominations,George P. Cosmatos,"$56,505,065",R,560,88,138K
The Good Son (1993),6.4,Awards,1 win & 2 nominations,Joseph Ruben,"$60,613,008",R,175,55,40K
The Client (1994),6.8,Nominated for 1 Oscar,3 wins & 4 nominations total,Joel Schumacher,"$117,615,211",PG-13,125,55,64K
The Flintstones (1994),4.9,Awards,6 wins & 10 nominations,Brian Levant,"May 29, 1994",PG,125,50,79K
The Santa Clause (1994),6.5,Awards,2 wins & 8 nominations,John Pasquin,"$190,539,357",PG,164,87,106K
The Basketball Diaries (1995),7.3,Awards,2 wins & 8 nominations,John Pasquin,"$2,402,438",PG,164,87,106K
The Quick and the Dead (1995),6.5,Awards,1 nomination,Sam Raimi,"$18,636,537",R,283,81,90K
The Nutty Professor (1996),5.6,Won 1 Oscar,10 wins & 12 nominations total,Tom Shadyac,"$273,961,019",PG-13,138,52,115K
The Fan (1996),5.9,Awards,1 win & 3 nominations,Tony Scott,"$18,626,419",R,117,59,48K
The People vs. Larry Flynt (1996),7.3,Nominated for 2 Oscars,22 wins & 35 nominations total,Milos Forman,"$20,300,385",R,153,77,92K
Twister (1996),6.4,Nominated for 2 Oscars,11 wins & 17 nominations total,Jan de Bont,"$494,471,524",PG-13,480,135,188K
The Lost World: Jurassic Park (1997),6.6,Nominated for 1 Oscar,4 wins & 28 nominations total,Steven Spielberg,"May 25, 1997",PG-13,721,213,397K
Titanic (1997),7.8,Won 11 Oscars,125 wins & 83 nominations total,James Cameron,"$2,201,647,264",PG-13,3K,337,1.1M
The Borrowers (1997),5.9,Awards,1 win & 4 nominations total,Peter Hewitt,"$22,619,589",PG,49,46,22K
The Thin Red Line (1998),7.6,Nominated for 7 Oscars,21 wins & 47 nominations total,Terrence Malick,"$98,126,565",R,1.5K,183,182K
The Big Hit (1998),6.1,Nominated for 7 Oscars,21 wins & 47 nominations total,Terrence Malick,"$27,007,143",R,1.5K,183,182K
Twilight (1998),6.2,Nominated for 7 Oscars,21 wins & 47 nominations total,Terrence Malick,"$15,055,091",R,1.5K,183,182K
The Newton Boys (1998),6.1,Nominated for 7 Oscars,21 wins & 47 nominations total,Terrence Malick,"$10,452,012",R,1.5K,183,182K
The Man in the Iron Mask (1998),6.5,Awards,3 wins & 4 nominations,Randall Wallace,"$182,968,902",PG-13,280,91,162K
The Wedding Singer (1998),6.9,Awards,5 wins & 7 nominations,Frank Coraci,"$123,306,987",PG-13,382,99,143K
The Parent Trap (1998),6.6,Awards,2 wins & 7 nominations,Nancy Meyers,"$92,108,659",PG,315,62,129K
The Cider House Rules (1999),7.4,Won 2 Oscars,8 wins & 30 nominations total,Lasse Hallström,"$88,545,092",PG-13,437,121,96K
The Yards (2000),6.4,Awards,3 wins & 2 nominations,James Gray,"$924,036",R,141,82,21K
Three Kings (1999),7.1,Awards,8 wins & 19 nominations,David O. Russell,2.39 : 1,R,576,121,167K
The Corruptor (1999),6.1,Awards,1 nomination,James Foley,"$24,493,601",R,141,96,18K
Two Hands (1999),7.1,Awards,15 wins & 12 nominations,Gregor Jordan,Dôi Tay,R,116,8,12K
The Talented Mr. Ripley (1999),7.4,Nominated for 5 Oscars,10 wins & 81 nominations total,Anthony Minghella,"$128,799,509",R,779,181,199K
The Kid (2000),6.1,Awards,1 win & 3 nominations,Jon Turteltaub,"$110,317,580",PG,148,93,42K
The Original Kings of Comedy (2000),6.8,Awards,3 nominations,Spike Lee,"$38,182,790",R,85,55,5.7K
The Way of the Gun (2000),6.7,Awards,3 nominations,Spike Lee,"$13,200,972",R,85,55,5.7K
The Whole Nine Yards (2000),6.7,Awards,6 nominations,Jonathan Lynn,"$106,371,651",R,334,56,117K
The Replacements (2000),6.6,Awards,6 nominations,Jonathan Lynn,"$50,054,511",R,334,56,117K
The Skulls (2000),5.6,Awards,1 nomination,Rob Cohen,"$50,802,120",PG-13,197,91,32K
Tigerland (2000),7.0,Awards,2 wins & 5 nominations,Joel Schumacher,"$148,701",R,163,76,41K
Traffic (2000),7.6,Won 4 Oscars,74 wins & 87 nominations total,Steven Soderbergh,"$207,515,725",R,913,181,203K
Turn It Up (2000),4.2,Awards,1 nomination,Robert Adetuyi,"$1,247,949",R,9,24,1.3K
The Adventures of Rocky & Bullwinkle (2000),4.2,Awards,2 wins & 6 nominations,Des McAnuff,"$35,134,820",PG,204,54,20K
The Art of War (2000),5.7,Awards,11 nominations,Christian Duguay,"$40,400,425",R,179,97,30K
The Legend of Bagger Vance (2000),6.7,Awards,2 wins & 11 nominations,Robert Redford,"$39,459,427",PG-13,292,90,56K
The 6th Day (2000),5.9,Awards,8 nominations,Roger Spottiswoode,"$96,085,477",PG-13,329,149,120K
The Beach (2000),6.7,Awards,7 nominations,Danny Boyle,"$144,056,873",R,622,120,232K
The Patriot (2000),7.2,Nominated for 3 Oscars,9 wins & 20 nominations total,Roland Emmerich,"$215,294,342",R,1.2K,177,264K
The Brothers (2001),6.4,Awards,1 win & 8 nominations,Gary Hardwick,"$27,958,191",R,45,51,4.6K
The Fluffer (2001),5.7,Awards,1 win,Richard Glatzer,"$599,523",R,41,36,2.9K
The Last Castle (2001),7.0,Awards,1 win & 4 nominations,Rod Lurie,"$27,642,707",R,345,96,77K
The Lord of the Rings: The Fellowship of the Ring (2001),8.8,Won 4 Oscars,120 wins & 126 nominations total,Peter Jackson,"$897,690,072",PG-13,5.5K,201,1.7M
The Mummy Returns (2001),6.4,Awards,6 wins & 19 nominations,Stephen Sommers,"$443,280,904",PG-13,948,178,313K
The Musketeer (2001),4.8,Awards,1 nomination,Peter Hyams,"$32,533,802",PG-13,297,113,14K
The One (2001),5.9,Awards,4 nominations,James Wong,"$74,005,691",PG-13,312,101,91K
The Others (2001),7.6,Awards,29 wins & 55 nominations total,Alejandro Amenábar,"$209,947,037",PG-13,1.2K,167,354K
The Princess Diaries (2001),6.4,Awards,3 wins & 11 nominations,Garry Marshall,"$165,335,153",G,347,108,137K
The Royal Tenenbaums (2001),7.6,Nominated for 1 Oscar,11 wins & 46 nominations total,Wes Anderson,"$71,444,482",R,1K,232,280K
The Shipping News (2001),6.7,Awards,2 wins & 13 nominations total,Lasse Hallström,"$24,690,441",R,215,121,33K
The Wash (2001),4.8,Awards,2 wins & 13 nominations total,Lasse Hallström,"$10,229,331",R,215,121,33K
Thir13en Ghosts (2001),5.6,Awards,1 win & 4 nominations,Steve Beck,"Oct 28, 2001",R,529,144,85K
Tomcats (2001),5.4,Awards,2 nominations,Gregory Poirier,"$23,430,766",R,129,77,18K
Das Experiment (2001),7.7,Awards,14 wins & 14 nominations,Oliver Hirschbiegel,"$13,782,896",R,182,115,93K
Training Day (2001),7.7,Won 1 Oscar,18 wins & 23 nominations total,Antoine Fuqua,"$104,876,233",R,757,125,413K
The Majestic (2001),6.9,Awards,3 wins & 1 nomination,Frank Darabont,"$37,317,673",PG,397,111,54K
The Wedding Planner (2001),5.3,Awards,2 wins & 6 nominations,Adam Shankman,"$94,728,529",PG-13,244,111,79K
The Fast and the Furious (2001),6.8,Awards,11 wins & 18 nominations,Rob Cohen,"$207,305,509",PG-13,1.1K,131,370K
The Parole Officer (2001),6.4,Awards,2 nominations total,John Duigan,"$4,424,253",R,69,28,6.8K
The Pianist (2002),8.5,Won 3 Oscars,57 wins & 74 nominations total,Roman Polanski,"$120,072,577",R,1K,136,780K
The Adventures of Pluto Nash (2002),3.8,Awards,1 win & 12 nominations,Ron Underwood,"$7,103,973",PG-13,199,63,25K
The Banger Sisters (2002),5.7,Awards,1 win & 1 nomination,Bob Dolman,"$38,068,353",R,152,94,16K
The Bourne Identity (2002),7.9,Awards,3 wins & 6 nominations,Doug Liman,"$214,034,224",PG-13,961,255,528K
The Santa Clause 2 (2002),5.7,Awards,1 win & 3 nominations,Michael Lembeck,"$172,855,065",G,137,87,54K
The Four Feathers (2002),6.5,Awards,1 win & 3 nominations,Michael Lembeck,"$29,882,645",G,137,87,54K
The Italian Job (2003),7.0,Awards,7 wins & 9 nominations,F. Gary Gray,"$176,070,171",PG-13,562,173,355K
The League of Extraordinary Gentlemen (2003),5.8,Awards,12 nominations,Stephen Norrington,"$179,265,204",PG-13,852,201,173K
The Village (2004),6.5,Nominated for 1 Oscar,4 wins & 24 nominations total,M. Night Shyamalan,"$256,697,520",PG-13,2.1K,292,253K
Torque (2004),4.1,Awards,4 nominations,Joseph Kahn,"$46,546,197",PG-13,226,91,28K
The Bourne Supremacy (2004),7.7,Awards,5 wins & 22 nominations,Paul Greengrass,"$290,835,269",PG-13,886,251,449K
The Aviator (2004),7.5,Won 5 Oscars,85 wins & 131 nominations total,Martin Scorsese,"$213,719,942",PG-13,879,267,349K
The 40 Year Old Virgin (2005),7.1,Awards,10 wins & 19 nominations,Judd Apatow,"$177,378,645",R,624,190,417K
Fever Pitch (2005),6.2,Awards,9 nominations,Bobby Farrelly,"$50,605,163",PG-13,220,111,44K
Their Eyes Were Watching God (TV Movie 2005),6.5,Nominated for 2 Primetime Emmys,2 wins & 24 nominations total,Darnell Martin,Sueños de libertad,TV-14,84,6,2.8K
The Brothers Grimm (2005),5.9,Awards,4 wins & 5 nominations,Terry Gilliam,"$105,316,267",PG-13,518,243,119K
The Break-Up (2006),5.8,Awards,3 wins & 5 nominations,Peyton Reed,"$205,668,210",PG-13,533,175,130K
The Illusionist (2006),7.6,Nominated for 1 Oscar,11 wins & 12 nominations total,Neil Burger,"$87,892,388",PG-13,716,225,364K
The Departed (2006),8.5,Won 4 Oscars,97 wins & 141 nominations total,Martin Scorsese,"$291,465,373",R,2.4K,306,1.3M
The Last King of Scotland (2006),7.7,Won 1 Oscar,49 wins & 32 nominations total,Kevin Macdonald,"$48,618,191",R,384,244,182K
The Nanny Diaries (2007),6.2,Awards,1 win & 2 nominations,Shari Springer Berman,"$47,817,020",PG-13,94,97,58K
The Bourne Ultimatum (2007),8.0,Won 3 Oscars,29 wins & 42 nominations total,Paul Greengrass,"$444,100,035",PG-13,928,336,619K
The Simpsons Movie (2007),7.3,Awards,5 wins & 34 nominations total,David Silverman,"$536,414,293",PG-13,882,298,320K
The Brothers Bloom (2008),6.8,Awards,3 nominations,Rian Johnson,"$5,530,764",PG-13,133,187,50K
The Happening (2008),5.0,Awards,3 wins & 10 nominations,M. Night Shyamalan,"$163,403,799",R,1.4K,358,202K
The Incredible Hulk (2008),6.6,Awards,1 win & 10 nominations,Louis Leterrier,"$264,770,996",PG-13,879,405,461K
Tropic Thunder (2008),7.0,Nominated for 1 Oscar,10 wins & 47 nominations total,Ben Stiller,"$195,702,963",R,692,332,397K
The House Bunny (2008),5.5,Awards,2 nominations,Fred Wolf,"$70,439,696",PG-13,163,133,82K
The Spiderwick Chronicles (2008),6.5,Awards,2 wins & 8 nominations,Mark Waters,"$164,170,327",PG,160,189,93K
The Tale of Despereaux (2008),6.1,Awards,1 win & 8 nominations,Sam Fell,2.35 : 1,G,112,116,37K
The Dark Knight (2008),9.0,Won 2 Oscars,159 wins & 163 nominations total,Christopher Nolan,"$1,005,973,645",PG-13,7.7K,433,2.4M
The Hangover (2009),7.7,Awards,13 wins & 25 nominations total,Todd Phillips,"$469,310,836",R,784,351,749K
The Imaginarium of Doctor Parnassus (2009),6.8,Nominated for 2 Oscars,5 wins & 23 nominations total,Terry Gilliam,"$61,808,775",PG-13,262,291,147K
The Lovely Bones (2009),6.7,Nominated for 1 Oscar,10 wins & 46 nominations total,Peter Jackson,"$93,621,340",PG-13,744,318,165K
The Invention of Lying (2009),6.4,Awards,1 nomination,Ricky Gervais,"$32,406,507",PG-13,410,200,136K
The Men Who Stare at Goats (2009),6.2,Awards,1 win & 1 nomination,Grant Heslov,"$69,095,771",R,306,267,130K
Tucker and Dale vs Evil (2010),7.5,Awards,10 wins & 14 nominations,Eli Craig,"$5,224,938",R,340,349,173K
Tracker (2010),6.5,Awards,1 nomination,Ian Sharp,"$54,437",R,32,11,3.9K
The Losers (2010),6.3,Awards,1 win & 7 nominations,Sylvain White,"$29,397,654",PG-13,269,177,98K
